iter	Logloss	Accuracy
0	0.6613847925	0.753275807
1	0.6344959464	0.7663790348
2	0.6138415624	0.7786832854
3	0.5951726742	0.7769255353
4	0.5785038943	0.7825183765
5	0.5637149258	0.7836369447
6	0.5499971774	0.7849153084
7	0.540368009	0.7850751039
8	0.5301290262	0.7837967402
9	0.5207828146	0.7869926494
10	0.5139120229	0.7860338766
11	0.506838144	0.7873122403
12	0.5012303724	0.7876318313
13	0.4959296116	0.788910195
14	0.4911955134	0.7893895813
15	0.4878843939	0.7919463087
16	0.4832385184	0.7913071269
17	0.4790621812	0.7914669223
18	0.4753061575	0.7921061042
19	0.4720081632	0.790667945
20	0.4689680489	0.7914669223
21	0.4665920354	0.7924256951
22	0.4640391424	0.7925854906
23	0.4612919954	0.7945030361
24	0.4588650439	0.7940236497
25	0.4571479662	0.794822627
26	0.4545578225	0.7961009907
27	0.4519476737	0.7962607862
28	0.4496304266	0.7959411953
29	0.4483174121	0.7949824225
30	0.4463555026	0.7961009907
31	0.444436632	0.7956216043
32	0.4432005203	0.7965803771
33	0.4416397436	0.7959411953
34	0.4405180841	0.7970597635
35	0.4391276407	0.796899968
36	0.4364899788	0.7973793544
37	0.4356133496	0.7983381272
38	0.4349031709	0.7983381272
39	0.4340266275	0.7984979227
40	0.4326881058	0.7984979227
41	0.4305990108	0.7997762864
42	0.4280147187	0.8002556727
43	0.4259436533	0.7999360818
44	0.4250441885	0.8005752637
45	0.4243160795	0.8016938319
46	0.4232819748	0.803451582
47	0.4225981838	0.8032917865
48	0.4207454164	0.8036113774
49	0.4197932136	0.803451582
