iter	Passed	Remaining
0	48	2359
1	49	1192
2	51	805
3	53	611
4	54	492
5	56	412
6	67	413
7	69	365
8	76	346
9	77	309
10	78	278
11	79	252
12	80	230
13	82	211
14	83	194
15	84	179
16	85	166
17	87	154
18	88	144
19	89	134
20	90	125
21	91	117
22	93	109
23	94	102
24	95	95
25	96	89
26	98	83
27	99	78
28	100	72
29	101	67
30	102	63
31	104	58
32	105	54
33	106	50
34	107	46
35	108	42
36	109	38
37	111	35
38	112	31
39	113	28
40	114	25
41	115	22
42	117	19
43	118	16
44	119	13
45	120	10
46	122	7
47	123	5
48	124	2
49	125	0
